epoch,train_loss,val_loss,epoch_time_s
1,7.083059837720746,6.125598566872733,17.994
2,5.753457327719056,5.374727286989727,12.561
3,5.278650055134911,5.090867420983693,12.422
4,5.063762283663978,4.953626254248241,12.355
5,4.9399136362024985,4.867310372609941,14.805
6,4.853802463301122,4.80445683191693,16.208
7,4.7870387378848465,4.753116365463015,12.456
8,4.730219053332801,4.702526327163454,12.506
9,4.668525933795881,4.66532514208839,12.491
10,4.616740465587664,4.633191403888521,12.618
11,4.575720341548615,4.5993818782624745,12.442
12,4.537370371776195,4.577740903884646,12.451
13,4.508359813351403,4.559741640847827,12.608
14,4.480411039152535,4.546434841458759,12.489
15,4.457966648664186,4.531657506549169,12.572
16,4.4358096935821045,4.521275989593021,12.529
17,4.416485232527684,4.511224610464914,12.517
18,4.398058548278538,4.501149124569363,12.459
19,4.38265688000098,4.495012873695011,12.839
20,4.368310615817353,4.487139187161884,12.574
21,4.354628310533866,4.481121502225361,13.287
22,4.342730229108414,4.47022661330208,13.01
23,4.328933883517927,4.467304630885049,12.448
24,4.318818688604378,4.464459260304769,15.558
25,4.308477595263222,4.462614453028118,12.878
26,4.297506608505656,4.459333434937492,14.029
27,4.288459216722587,4.456723334297301,20.096
28,4.28043038510514,4.452281959473141,19.468
29,4.271730173968083,4.449736784374903,24.049
30,4.264437287992949,4.449060212998163,14.525
31,4.25628061447008,4.447194583832272,24.638
32,4.2491266147281515,4.445072257329548,29.562
33,4.242823805732795,4.443268041762095,15.95
34,4.235634022877018,4.436710811796642,27.172
35,4.228121017689815,4.4383102522956,18.041
36,4.223149860731026,4.434145480867416,14.195
37,4.216539369383248,4.430279497116331,14.22
38,4.210540440747412,4.4318856360420344,13.879
39,4.206264248961454,4.431275587233286,12.815
40,4.200802582830561,4.4285530135745095,13.138
